date,total_value,cash,open_positions_value
2025-07-16,10000000.0,10000000.0,0
2025-07-17,10000000.0,10000000.0,0
2025-07-18,10000000.0,10000000.0,0
2025-07-21,10000000.0,10000000.0,0
2025-07-22,10000000.0,10000000.0,0
2025-07-23,10000000.0,10000000.0,0
2025-07-24,10000000.0,10000000.0,0
2025-07-25,10000000.0,10000000.0,0
2025-07-28,10000000.0,10000000.0,0
2025-07-29,10000000.0,10000000.0,0
2025-07-30,10000000.0,10000000.0,0
2025-07-31,10000000.0,10000000.0,0
2025-08-01,10000000.0,10000000.0,0
2025-08-04,10000000.0,10000000.0,0
2025-08-05,10000000.0,10000000.0,0
2025-08-06,10000000.0,10000000.0,0
2025-08-07,10000000.0,10000000.0,0
2025-08-08,10000000.0,10000000.0,0
2025-08-11,10000000.0,10000000.0,0
2025-08-12,10000000.0,10000000.0,0
2025-08-13,10000000.0,10000000.0,0
2025-08-14,10000000.0,10000000.0,0
2025-08-15,10000000.0,10000000.0,0
2025-08-18,10000000.0,10000000.0,0
2025-08-19,10000000.0,10000000.0,0
2025-08-20,10000000.0,10000000.0,0
2025-08-21,10000000.0,10000000.0,0
2025-08-22,9990586.25,9037396.25,953190.0
2025-08-25,9990586.25,9037396.25,953190.0
2025-08-26,10006736.25,9037396.25,969340.0
2025-08-27,10019826.25,9037396.25,982430.0
2025-08-28,10027986.25,9037396.25,990590.0
2025-08-29,10016596.25,9037396.25,979200.0
2025-09-01,10016596.25,9037396.25,979200.0
2025-09-02,10016596.25,9037396.25,979200.0
2025-09-03,10035976.25,9037396.25,998580.0
2025-09-04,10040906.25,9037396.25,1003510.0
2025-09-05,10026286.25,9037396.25,988890.0
2025-09-08,10021356.25,9037396.25,983960.0
2025-09-09,10016596.25,9037396.25,979200.0
2025-09-10,10008436.25,9037396.25,971040.0
2025-09-11,10031216.25,9037396.25,993820.0
2025-09-12,10063686.25,9037396.25,1026290.0
2025-09-15,10061986.25,9037396.25,1024590.0
2025-09-16,10087996.25,9037396.25,1050600.0
2025-09-17,10102616.25,10102616.25,0
2025-09-18,10102616.25,10102616.25,0
2025-09-19,10102616.25,10102616.25,0
2025-09-22,10102616.25,10102616.25,0
2025-09-23,10102616.25,10102616.25,0
2025-09-24,10102616.25,10102616.25,0
2025-09-25,10102616.25,10102616.25,0
2025-09-26,10102616.25,10102616.25,0
2025-09-29,10102616.25,10102616.25,0
2025-09-30,10102616.25,10102616.25,0
2025-10-01,10102616.25,10102616.25,0
2025-10-02,10102616.25,10102616.25,0
2025-10-03,10102616.25,10102616.25,0
2025-10-06,10102616.25,10102616.25,0
2025-10-07,10102616.25,10102616.25,0
2025-10-08,10102616.25,10102616.25,0
2025-10-09,10102616.25,10102616.25,0
2025-10-10,10102616.25,10102616.25,0
2025-10-13,10102616.25,10102616.25,0
2025-10-14,10102616.25,10102616.25,0
2025-10-15,10102616.25,10102616.25,0
2025-10-16,10109647.57,9120897.57,988750.0
2025-10-17,10100897.57,9120897.57,980000.0
2025-10-20,10000172.71,7181422.71,2818750.0
2025-10-21,10078022.71,7181422.71,2896600.0
2025-10-22,10090022.71,7181422.71,2908600.0
2025-10-23,10106122.71,7181422.71,2924700.0
2025-10-24,10123622.71,7181422.71,2942200.0
2025-10-27,10027672.71,7181422.71,2846250.0
2025-10-28,10058222.71,7181422.71,2876800.0
2025-10-29,10046872.71,7181422.71,2865450.0
2025-10-30,10029622.71,7181422.71,2848200.0
2025-10-31,9987922.71,7181422.71,2806500.0
2025-11-03,9953772.71,7181422.71,2772350.0
2025-11-04,10032122.71,6238372.71,3793750.0
2025-11-05,10003672.71,6238372.71,3765300.0
2025-11-06,9991572.71,6238372.71,3753200.0
2025-11-07,9875322.71,6238372.71,3636950.0
2025-11-10,9867937.06,7051587.06,2816350.0
2025-11-11,9919887.06,7051587.06,2868300.0
2025-11-12,9979187.06,7051587.06,2927600.0
2025-11-13,9992637.06,7051587.06,2941050.0
2025-11-14,10037487.06,7051587.06,2985900.0
2025-11-17,10051587.06,7051587.06,3000000.0
2025-11-18,10041987.06,7051587.06,2990400.0
2025-11-19,10041687.06,7051587.06,2990100.0
2025-11-20,10009237.06,7051587.06,2957650.0
2025-11-21,9988887.06,7051587.06,2937300.0
